"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account — pick a different ledger or unmap the other Plaid account first.",,
"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account.",,
"""${0}"" is the last sub-account still receiving automatic imports under ${1}. Disconnecting it removes the whole institution from Plaid and stops all feeds for this bank until you connect it again. Your ledger accounts and history stay in the books.",,
${0},,
Empty,Vazio,
"Empty file selected","O arquivo selecionado está vazio",
"Empty payload",,
"Enable Barcodes","Habilitar códigos de barras",
"Enable Batches","Habilitar nº de lote",
"Enable Coupon Code",,
"Enable Discount Accounting","Ativar registro de descontos",
"Enable ERPNext Sync",,
"Enable Form Customization","Ativar customização de formulário",
"Enable Inventory","Ativar Estoque",
"Enable Invoice Returns","Habilitar Devoluções em Vendas/Compras",
"Enable Item Enquiry",,
"Enable Item Group",,
"Enable Lead",,
"Enable Loyalty Program",,
"Enable Partial Payment",,
"Enable Partial payment to pay partial amount",,
"Enable Point of Sale","Ativar Ponto de Venda",
"Enable Price List","Ativar lista de preços",
"Enable Pricing Rule",,
"Enable Serial Number","Habilitar Nº de Série",
"Enable UOM Conversion","Habilitar Conversão de Unidade",
Enabled,Habilitado,
"Enabled For","Habilitado para ",
"Ending balance",,
"Ending balance (target)",,
Endpoints,,
"Enter Country to load States","Selecionar o País antes de selecionar o estado",
"Enter State","Selecionar o estado",
"Enter account name, opening date, and opening balance.",,
"Enter barcode","Digitar código de barras",
"Enter the closing balance from your PDF (for example 5200.00).",,
"Enter the period end and closing balance from your bank PDF. After you import CSV lines below, the reconcile workbench compares line totals to this balance.",,
"Enter the statement end date and closing balance from your PDF.",,
"Enter the statement end date from your PDF.",,
"Enter weight barcode",,
"Enter your LiveBooks Cloud authenticator or backup code to continue.",,
"Enter your LiveBooks Cloud authenticator or backup code to link a bank account.",,
"Enter your LiveBooks Cloud authenticator or backup code to sync bank statements.",,
"Enter your LiveBooks Cloud authenticator or backup code to view bank feed status.",,
"Enter your statement details, then match withdrawals to Money out and deposits to Money in—the same layout as most bank PDFs.",,
"Entertainment Expenses","Despesas de Entretenimento",
Entry,Registro,
"Entry Currency","Moeda do Registro",
"Entry Label","Etiqueta do Registro",
"Entry No","Nº de entrada",
"Entry No.","Nº de entrada",
"Entry Type","Tipo de entrada",
"Entry has Grand Total ${0}. Please verify amounts.","O Registro tem o Total de ${0}. Verifique os valores.",
"Entry type",,
Equity,Equidade,
Error,Erro,
"Exchange Gain/Loss","Ganho/perda cambial",
"Exchange Rate","Taxa de Câmbio",
"Exchange Rate Cache",,
